Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00016223,-0.0011466,0.051783,0,0,0,0.61008,0.0026194,1.9168E-05,1.1401E-06,0.0018473,6.9143E-05,0.0010658,0,0,0,0,0,0,package://6061_两边同时切/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://6061_两边同时切/meshes/base_link.STL,base,6061_两边同时切1-1,sys0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,3.4238E-05,-0.0028506,0.13944,0,0,0,0.20989,0.00076292,4.6592E-05,5.4524E-06,0.000535,8.4658E-07,0.00026665,0,0,0,0,0,0,package://6061_两边同时切/meshes/Link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://6061_两边同时切/meshes/Link_1.STL,Link_1,6061_两边同时切2-1,sys0,基准轴1,joint_1,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
