Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.8386017256322E-05,0.0121106333575236,-0.000925064162838425,0,0,0,0.089837599324514,7.29305890037371E-06,3.20767409554941E-10,-1.78474723509001E-08,6.08286835368981E-05,4.92978007946511E-08,6.14425832943228E-05,0,0,0,0,0,0,package://camera/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://camera/meshes/base_link.STL,,cam7-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_left_depth,-6.93889390390723E-18,-2.97595413136635E-36,0.000339772440268237,0,0,0,5.43205075383495E-05,6.21043187601662E-11,-3.91138337645837E-43,5.24488635466825E-29,6.21043187601662E-11,-1.07528163018172E-43,9.50350954643001E-11,0,0,0,0,0,0,package://camera/meshes/Link_left_depth.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://camera/meshes/Link_left_depth.STL,,cam3-1,坐标系2,基准轴1,joint1,fixed,-0.0329623935367042,0.0122741227822766,0.00992257519599611,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_point_matrix,-1.73472347597681E-18,-5.22294647013031E-36,0.000875170878881264,0,0,0,0.000220095894659259,8.15056376643653E-10,-8.05109671961335E-42,9.86319422265173E-27,8.15056376643652E-10,-1.03889613456541E-42,1.4998808236006E-09,0,0,0,0,0,0,package://camera/meshes/Link_point_matrix.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://camera/meshes/Link_point_matrix.STL,,cam1-1,坐标系3,基准轴2,joint2,fixed,-0.0109623935367042,0.0122741227822766,0.00942257519599611,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_right_depth,-3.46944695195361E-18,0,0.000875170878881268,0,0,0,0.000220095894659259,8.15056376643651E-10,-7.02123150425064E-42,-1.32824701735016E-27,8.15056376643651E-10,-9.47628086499658E-42,1.4998808236006E-09,0,0,0,0,0,0,package://camera/meshes/Link_right_depth.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://camera/meshes/Link_right_depth.STL,,cam2-1,坐标系4,基准轴3,joint3,fixed,0.0179623935367042,0.0122741227822766,0.00942257519599611,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_RGB,3.46944695195361E-18,-7.63958078279334E-20,0,0,0,0,4.18879020478639E-06,1.67551608191456E-12,0,0,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://camera/meshes/Link_RGB.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://camera/meshes/Link_RGB.STL,,cam8-1,坐标系5,基准轴4,joint4,fixed,0.0309623935367042,0.0122741227822766,0.00942257519599611,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_end,0.00171632073873391,0.0122741227822766,0.0119225751959961,0,0,0,0.00245133225673037,6.11884516518844E-08,-1.20870238069248E-11,-5.61586524006748E-24,1.46473056099688E-06,-1.42634718370369E-24,1.52551045024919E-06,0,0,0,0,0,0,package://camera/meshes/Link_end.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://camera/meshes/Link_end.STL,,cam5-1,坐标系1,基准轴5,joint5,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
